slot
Monday at 10 to 11
Monday at 12 to 14
Monday at 14 to 15
Monday at 16 to 18
Tuesday at 9 to 11
Tuesday at 11 to 13
Tuesday at 12 to 13
Tuesday at 14 to 16
Tuesday at 16 to 18
Wednesday at 9 to 10
Wednesday at 10 to 11
Wednesday at 13 to 14
Wednesday at 14 to 15
Wednesday at 15 to 16
Wednesday at 16 to 17
Thursday at 9 to 11
Thursday at 11 to 13
Thursday at 14 to 16
Friday at 9 to 11
Friday at 11 to 12
